query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	COG_ID
RhiXN_11734	208960.XP_007265234.1	7.9e-19	98.6	2EAH9@1|root,2SGR2@2759|Eukaryota,39PYC@33154|Opisthokonta,3Q67A@4751|Fungi,3V7K1@5204|Basidiomycota,22FPZ@155619|Agaricomycetes,3H5HS@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
N5094_RS09205	319224.Sputcn32_2151	9.89e-201	555.0	COG1045@1|root,COG1045@2|Bacteria,1MVFX@1224|Proteobacteria,1RNCA@1236|Gammaproteobacteria,2QA0K@267890|Shewanellaceae	1236|Gammaproteobacteria	E	TIGRFAM serine O-acetyltransferase	cysE	-	2.3.1.30	ko:K00640	ko00270,ko00920,ko01100,ko01110,ko01120,ko01200,ko01230,ko05111,map00270,map00920,map01100,map01110,map01120,map01200,map01230,map05111	M00021	R00586	RC00004,RC00041	ko00000,ko00001,ko00002,ko01000	-	-	iJN746.PP_0840	Hexapep,SATase_N	COG1045
NIL_RS03590	387092.NIS_0727	3.24e-218	606.0	COG0473@1|root,COG0473@2|Bacteria,1MUH4@1224|Proteobacteria,42M8G@68525|delta/epsilon subdivisions,2YME5@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	CE	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate	leuB	-	1.1.1.85	ko:K00052	ko00290,ko00660,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map01100,map01110,map01210,map01230	M00432,M00535	R00994,R04426,R10052	RC00084,RC00417,RC03036	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Iso_dh	COG0473
DP58_RS00005	272560.BPSL1903	6.84e-297	822.0	COG2831@1|root,COG2831@2|Bacteria,1R43A@1224|Proteobacteria,2VN1X@28216|Betaproteobacteria,1K1EM@119060|Burkholderiaceae	28216|Betaproteobacteria	U	PFAM Polypeptide-transport-associated domain protein ShlB-type	-	-	-	-	-	-	-	-	-	-	-	-	POTRA_2,ShlB	COG2831
MYCGRDRAFT_93697	1047171.Mycgr3P93697	0.0	1319.0	COG0281@1|root,KOG1257@2759|Eukaryota,38DJY@33154|Opisthokonta,3NWPS@4751|Fungi,3QK09@4890|Ascomycota,1ZYE5@147541|Dothideomycetes,3MGY7@451867|Dothideomycetidae	4751|Fungi	C	Malic enzyme, NAD binding domain	-	-	1.1.1.40	ko:K00029	ko00620,ko00710,ko01100,ko01120,ko01200,map00620,map00710,map01100,map01120,map01200	M00169,M00172	R00216	RC00105	ko00000,ko00001,ko00002,ko01000	-	-	-	Malic_M,malic	COG0281
OQV00_RS00005	1286170.RORB6_18735	0.0	875.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,1RNHP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006275,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010556,GO:0016020,GO:0017076,GO:0019219,GO:0019222,GO:0030554,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051052,GO:0051171,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901576,GO:1990837,GO:2000112	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N	COG0593
EL294_RS01560	997350.HMPREF9129_0687	5.36e-133	389.0	COG0472@1|root,COG0472@2|Bacteria,1TP9V@1239|Firmicutes,247M7@186801|Clostridia	186801|Clostridia	M	PFAM Glycosyl transferase family 4	tagO	-	2.7.8.33,2.7.8.35	ko:K02851	-	-	R08856	RC00002	ko00000,ko01000,ko01003,ko01005	-	-	-	Glycos_transf_4	COG0472
DQN30_RS02710	1028805.GGC_1480	0.0	1322.0	COG3468@1|root,COG3468@2|Bacteria,1R3VW@1224|Proteobacteria,1RSKC@1236|Gammaproteobacteria,1Y8BJ@135625|Pasteurellales	135625|Pasteurellales	MU	COG3468 Type V secretory pathway, adhesin AidA	-	-	-	-	-	-	-	-	-	-	-	-	Autotransporter,Pertactin	COG3468
LAJ19_RS00005	1476583.DEIPH_ctg018orf0010	1.79e-76	232.0	COG3369@1|root,COG3592@1|root,COG3369@2|Bacteria,COG3592@2|Bacteria,1WMWX@1297|Deinococcus-Thermus	1297|Deinococcus-Thermus	S	Divergent 4Fe-4S mono-cluster	-	-	-	-	-	-	-	-	-	-	-	-	Fer4_19,zf-CDGSH	COG3369
KZ699_RS00005	176299.Atu0324	0.0	920.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,2TT03@28211|Alphaproteobacteria,4BAZ6@82115|Rhizobiaceae	28211|Alphaproteobacteria	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N	COG0593
DYD51_RS01670	862969.SCI_0351	0.0	1569.0	COG0532@1|root,COG0532@2|Bacteria,1TPAI@1239|Firmicutes,4HA8S@91061|Bacilli,42D5F@671232|Streptococcus anginosus group	91061|Bacilli	J	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex	infB	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	ko:K02519	-	-	-	-	ko00000,ko03012,ko03029	-	-	-	GTP_EFTU,IF-2,IF2_N	COG0532
LNP27_RS07270	1131812.JQMS01000001_gene1847	7.87e-90	271.0	COG2849@1|root,COG2849@2|Bacteria,4NP2Z@976|Bacteroidetes,1I22V@117743|Flavobacteriia,2NV3Y@237|Flavobacterium	976|Bacteroidetes	S	MORN repeat variant	-	-	-	-	-	-	-	-	-	-	-	-	MORN_2	COG2849
PAB09_RS00005	1224164.B843_00010	2.88e-243	673.0	COG0592@1|root,COG0592@2|Bacteria,2GJK3@201174|Actinobacteria,22KHP@1653|Corynebacteriaceae	201174|Actinobacteria	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria	dnaN	GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944	2.7.7.7	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3	COG0592
IM701_RS00005	279238.Saro_0166	6.76e-112	326.0	2AKT1@1|root,31JC8@2|Bacteria,1P5DK@1224|Proteobacteria,2UXT6@28211|Alphaproteobacteria,2KDMN@204457|Sphingomonadales	204457|Sphingomonadales	S	PilZ domain	-	-	-	-	-	-	-	-	-	-	-	-	PilZ	-
IM701_RS06480	279238.Saro_2115	8.929999999999999e-128	365.0	COG1825@1|root,COG1825@2|Bacteria,1RDH0@1224|Proteobacteria,2U5P0@28211|Alphaproteobacteria,2K122@204457|Sphingomonadales	204457|Sphingomonadales	J	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance	ctc	-	-	ko:K02897	ko03010,map03010	M00178	-	-	ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L25p,Ribosomal_TL5_C	COG1825
IM701_RS14210	279238.Saro_3338	4.5699999999999997e-45	146.0	COG0268@1|root,COG0268@2|Bacteria,1MZ94@1224|Proteobacteria,2UC42@28211|Alphaproteobacteria,2K617@204457|Sphingomonadales	204457|Sphingomonadales	J	Binds directly to 16S ribosomal RNA	rpsT	-	-	ko:K02968	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S20p	COG0268
IM701_RS14670	279238.Saro_0014	1.07e-87	259.0	COG0848@1|root,COG0848@2|Bacteria,1RHDF@1224|Proteobacteria,2UEA0@28211|Alphaproteobacteria,2K55Z@204457|Sphingomonadales	204457|Sphingomonadales	U	Biopolymer transport protein	-	-	-	ko:K03559	-	-	-	-	ko00000,ko02000	1.A.30.2.1	-	-	ExbD	COG0848
IM701_RS14685	279238.Saro_0017	6.39e-102	301.0	COG0810@1|root,COG0810@2|Bacteria,1RCAG@1224|Proteobacteria,2U664@28211|Alphaproteobacteria,2K187@204457|Sphingomonadales	204457|Sphingomonadales	M	Periplasmic protein TonB, links inner and outer membranes	-	-	-	ko:K03832	-	-	-	-	ko00000,ko02000	2.C.1.1	-	-	TonB_C	COG0810
LGV80_RS18325	267608.RSp0366	1.9300000000000002e-303	840.0	COG1216@1|root,COG4261@1|root,COG1216@2|Bacteria,COG4261@2|Bacteria,1MVXJ@1224|Proteobacteria,2WH20@28216|Betaproteobacteria,1KIGT@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Pfam Glycosyl transferase family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2,Lip_A_acyltrans	COG1216
HL653_RS00005	392499.Swit_0610	4.69e-80	241.0	COG0440@1|root,COG0440@2|Bacteria,1RAGN@1224|Proteobacteria,2U5CW@28211|Alphaproteobacteria,2K12R@204457|Sphingomonadales	204457|Sphingomonadales	E	acetolactate synthase	ilvH	-	2.2.1.6	ko:K01653	ko00290,ko00650,ko00660,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00650,map00660,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00570	R00006,R00014,R00226,R03050,R04672,R04673,R08648	RC00027,RC00106,RC01192,RC02744,RC02893	ko00000,ko00001,ko00002,ko01000	-	-	-	ACT,ACT_5,ALS_ss_C	COG0440
J2J99_RS00005	491916.RHECIAT_CH0004419	6.49e-224	619.0	COG0407@1|root,COG0407@2|Bacteria,1MUG1@1224|Proteobacteria,2TQQV@28211|Alphaproteobacteria,4B7YQ@82115|Rhizobiaceae	28211|Alphaproteobacteria	H	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III	hemE	GO:0003674,GO:0003824,GO:0004853,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.1.1.37	ko:K01599	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R03197,R04972	RC00872	ko00000,ko00001,ko00002,ko01000	-	-	-	URO-D	COG0407
HC248_RS12010	1157708.KB907450_gene5510	3.33e-280	772.0	COG0114@1|root,COG0114@2|Bacteria,1MUQI@1224|Proteobacteria,2VHA5@28216|Betaproteobacteria,4AAGV@80864|Comamonadaceae	28216|Betaproteobacteria	C	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate	fumC	-	4.2.1.2	ko:K01679	ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko04934,ko05200,ko05211,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200,map04934,map05200,map05211	M00009,M00011,M00173,M00376	R01082	RC00443	ko00000,ko00001,ko00002,ko01000	-	-	-	FumaraseC_C,Lyase_1	COG0114
HC248_RS13875	296591.Bpro_1080	8.7e-261	719.0	COG0206@1|root,COG0206@2|Bacteria,1MV2X@1224|Proteobacteria,2VH0S@28216|Betaproteobacteria,4AA0A@80864|Comamonadaceae	28216|Betaproteobacteria	D	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity	ftsZ	-	-	ko:K03531	ko04112,map04112	-	-	-	ko00000,ko00001,ko02048,ko03036,ko04812	-	-	-	FtsZ_C,Tubulin	COG0206
EUU25_RS03910	1120705.FG95_03842	0.0	1221.0	COG1629@1|root,COG4206@1|root,COG1629@2|Bacteria,COG4206@2|Bacteria,1QU0Y@1224|Proteobacteria,2TW37@28211|Alphaproteobacteria,2KE9Q@204457|Sphingomonadales	204457|Sphingomonadales	HP	TonB dependent receptor	-	-	-	-	-	-	-	-	-	-	-	-	Plug,TonB_dep_Rec	COG1629
EUU25_RS07390	1549858.MC45_16725	4.0199999999999995e-30	119.0	COG0545@1|root,COG0545@2|Bacteria,1Q7V7@1224|Proteobacteria,2USAC@28211|Alphaproteobacteria,2K4B6@204457|Sphingomonadales	204457|Sphingomonadales	M	FKBP-type peptidyl-prolyl cis-trans isomerase	-	-	5.2.1.8	ko:K03772	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	FKBP_C	COG0545
FPSE_07951	101028.EKJ71850	0.0	2675.0	293QQ@1|root,2RAMN@2759|Eukaryota,3AX1D@33154|Opisthokonta,3PWYX@4751|Fungi,3RFYD@4890|Ascomycota,21GPC@147550|Sordariomycetes,3TNSF@5125|Hypocreales,1FUIH@110618|Nectriaceae	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FPSE_03460	101028.EKJ76377	0.0	1431.0	COG1404@1|root,2QSWT@2759|Eukaryota,39UT0@33154|Opisthokonta,3NZIN@4751|Fungi,3QRH9@4890|Ascomycota,2194P@147550|Sordariomycetes,3TIXV@5125|Hypocreales,1FWC6@110618|Nectriaceae	4751|Fungi	O	Subtilase family	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_S8	COG1404
EYB33_RS01920	1145276.T479_00935	0.0	1126.0	COG0471@1|root,COG0471@2|Bacteria,1UI5K@1239|Firmicutes,4HC1Q@91061|Bacilli,3IVQU@400634|Lysinibacillus	91061|Bacilli	P	tricarboxylate	-	-	-	-	-	-	-	-	-	-	-	-	CitMHS,Na_sulph_symp,TrkA_C	COG0471
FRAQA3DRAFT_RS00005	710111.FraQA3DRAFT_6547	0.0	1128.0	COG1215@1|root,COG1215@2|Bacteria,2GKFI@201174|Actinobacteria,4EU1G@85013|Frankiales	201174|Actinobacteria	M	glycosyl transferase family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_trans_2_3,Glyco_transf_21	COG1215
G7079_RS00005	1121013.P873_12080	1.28e-158	486.0	COG5001@1|root,COG5001@2|Bacteria,1R8U0@1224|Proteobacteria,1RSBQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	T	CHASE4 domain	-	-	-	-	-	-	-	-	-	-	-	-	CHASE4,EAL,GGDEF	COG5001
SSEG_RS06945	463191.SSEG_04888	2.16e-306	833.0	COG0654@1|root,COG0654@2|Bacteria,2GM48@201174|Actinobacteria	201174|Actinobacteria	CH	4-hydroxybenzoate 3-monooxygenase	-	-	1.14.13.2	ko:K00481	ko00362,ko01100,ko01120,ko01220,map00362,map01100,map01120,map01220	-	R01298	RC00046	ko00000,ko00001,ko01000	-	-	-	FAD_binding_3	COG0654
SSEG_RS28645	463191.SSEG_08448	1.38e-196	546.0	COG3087@1|root,COG3087@2|Bacteria,2GKVZ@201174|Actinobacteria	201174|Actinobacteria	D	Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides	-	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane_2,ABC2_membrane_4	COG3087
B2M23_RS00005	471856.Jden_2313	4.25e-08	54.3	2ENTG@1|root,33GEN@2|Bacteria,2GY7D@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
I6L40_RS00005	558884.JRGM01000177_gene966	4.92e-147	419.0	COG0454@1|root,COG0456@2|Bacteria,1RGP3@1224|Proteobacteria,1SBE3@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_10	COG0454
DXK31_RS14850	929713.NIASO_20965	0.0	1954.0	COG2982@1|root,COG2982@2|Bacteria,4PKZC@976|Bacteroidetes,1J0K9@117747|Sphingobacteriia	976|Bacteroidetes	M	TamB, inner membrane protein subunit of TAM complex	-	-	-	-	-	-	-	-	-	-	-	-	TamB	COG2982
LQF09_RS00005	305700.B447_02336	0.0	896.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,2VHH0@28216|Betaproteobacteria,2KUSQ@206389|Rhodocyclales	206389|Rhodocyclales	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	-	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N	COG0593
BUB69_RS11910	1441629.PCH70_33580	7.62e-150	427.0	COG1344@1|root,COG1344@2|Bacteria,1MV1N@1224|Proteobacteria,1RN0Y@1236|Gammaproteobacteria,1Z4SX@136849|Pseudomonas syringae group	1236|Gammaproteobacteria	N	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella	fliC	GO:0005575,GO:0005576,GO:0005623,GO:0009288,GO:0042995,GO:0043226,GO:0043228,GO:0044464	-	ko:K02406	ko02020,ko02040,ko04621,ko04626,ko05132,ko05134,map02020,map02040,map04621,map04626,map05132,map05134	-	-	-	ko00000,ko00001,ko02035	-	-	-	Flagellin_C,Flagellin_IN,Flagellin_N	COG1344
HMPREF0202_RS01455	1319815.HMPREF0202_00268	2.63e-202	559.0	COG3023@1|root,COG3023@2|Bacteria,379IY@32066|Fusobacteria	32066|Fusobacteria	V	N-acetylmuramoyl-L-alanine amidase	-	-	3.5.1.28	ko:K01447,ko:K11066	-	-	R04112	RC00064,RC00141	ko00000,ko01000,ko01011	-	-	-	Amidase_2,PG_binding_1	COG3023
NQ502_RS12525	1123075.AUDP01000022_gene3618	5.85e-253	693.0	COG1879@1|root,COG1879@2|Bacteria,1VTWD@1239|Firmicutes,24YC2@186801|Clostridia,3WIWJ@541000|Ruminococcaceae	186801|Clostridia	K	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	LacI,Peripla_BP_4	COG1879
RRU01S_RS01560	1220582.RRU01S_03_00530	8.88e-63	192.0	2EJPM@1|root,33DEF@2|Bacteria,1NG5J@1224|Proteobacteria,2UH1X@28211|Alphaproteobacteria,4BP0Z@82115|Rhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PepSY_2	-
BSTAB16_RS00005	216591.BCAL2257	2.73e-265	729.0	2DBBP@1|root,2Z88Z@2|Bacteria,1R3B4@1224|Proteobacteria,2VNEU@28216|Betaproteobacteria,1K5GS@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Sulfotransferase domain	-	-	-	-	-	-	-	-	-	-	-	-	Sulfotransfer_3	-
GYM54_RS20595	1149133.ppKF707_4809	1.2400000000000001e-100	299.0	2E720@1|root,331KM@2|Bacteria	2|Bacteria	S	TraX protein	-	-	-	-	-	-	-	-	-	-	-	-	TraX	-
LY11_RS19700	391596.PBAL39_14114	2.1099999999999998e-89	262.0	2DKUK@1|root,30D8W@2|Bacteria,4PMPS@976|Bacteroidetes,1IXJZ@117747|Sphingobacteriia	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
J0B03_RS00005	293826.Amet_2035	7.29e-290	803.0	COG0747@1|root,COG0747@2|Bacteria,1TQ0N@1239|Firmicutes,25CDM@186801|Clostridia,36EUU@31979|Clostridiaceae	186801|Clostridia	E	family 5	-	-	-	ko:K02035	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	SBP_bac_5	COG0747
NCS57_00875200	140110.NechaP94475	0.0	1665.0	28UGT@1|root,2R17J@2759|Eukaryota,3932X@33154|Opisthokonta,3NURA@4751|Fungi,3QQYX@4890|Ascomycota,212BS@147550|Sordariomycetes,3TD5C@5125|Hypocreales,1FPW4@110618|Nectriaceae	4751|Fungi	U	Src homology 3 domains	BUD14	GO:0000131,GO:0000133,GO:0000903,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005856,GO:0005875,GO:0005933,GO:0005934,GO:0005935,GO:0005938,GO:0006355,GO:0006996,GO:0007010,GO:0007163,GO:0008064,GO:0008104,GO:0008150,GO:0008360,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0010564,GO:0010639,GO:0010921,GO:0015630,GO:0016043,GO:0019208,GO:0019219,GO:0019220,GO:0019222,GO:0019888,GO:0022603,GO:0022604,GO:0030029,GO:0030036,GO:0030234,GO:0030427,GO:0030674,GO:0030832,GO:0030833,GO:0030837,GO:0030950,GO:0030952,GO:0031323,GO:0031326,GO:0031333,GO:0031399,GO:0031500,GO:0032153,GO:0032231,GO:0032268,GO:0032271,GO:0032272,GO:0032465,GO:0032535,GO:0032878,GO:0032879,GO:0032880,GO:0032956,GO:0032970,GO:0032991,GO:0033036,GO:0033043,GO:0034613,GO:0035303,GO:0035304,GO:0035838,GO:0035839,GO:0035840,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043254,GO:0043666,GO:0044087,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0044848,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0051049,GO:0051128,GO:0051129,GO:0051171,GO:0051174,GO:0051179,GO:0051246,GO:0051252,GO:0051285,GO:0051286,GO:0051302,GO:0051336,GO:0051493,GO:0051494,GO:0051641,GO:0051726,GO:0060090,GO:0060255,GO:0060341,GO:0060627,GO:0061245,GO:0061246,GO:0065007,GO:0065008,GO:0065009,GO:0070727,GO:0071840,GO:0071944,GO:0071963,GO:0072690,GO:0080090,GO:0090066,GO:0090337,GO:0098772,GO:0099568,GO:0099738,GO:0110053,GO:1902903,GO:1902904,GO:1903066,GO:1903067,GO:1903068,GO:1903076,GO:1903078,GO:1903506,GO:1903827,GO:1903828,GO:1903829,GO:1904375,GO:1904377,GO:1905475,GO:1905477,GO:1990615,GO:2000112,GO:2000114,GO:2000769,GO:2000771,GO:2000782,GO:2000784,GO:2001141	-	-	-	-	-	-	-	-	-	-	RA,SH3_1	-
HKM20_RS02970	1082931.KKY_2811	0.0	1276.0	COG1138@1|root,COG1138@2|Bacteria,1MUQS@1224|Proteobacteria,2TRNG@28211|Alphaproteobacteria,3N6JZ@45401|Hyphomicrobiaceae	28211|Alphaproteobacteria	O	Cytochrome c-type biogenesis protein	ccmF	-	-	ko:K02198	-	-	-	-	ko00000,ko02000	9.B.14.1	-	-	CcmF_C,Cytochrom_C_asm	COG1138
TOLA_RS01145	595494.Tola_0214	0.0	1039.0	COG3290@1|root,COG3290@2|Bacteria,1MXQ5@1224|Proteobacteria,1RNRF@1236|Gammaproteobacteria,1Y5MW@135624|Aeromonadales	135624|Aeromonadales	T	Signal transduction histidine kinase regulating citrate malate metabolism	-	-	2.7.13.3	ko:K07701	ko02020,map02020	M00488	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HATPase_c,PAS,SPOB_a,sCache_3_2	COG3290
F6B93_RS04730	1299327.I546_2638	1.2699999999999999e-189	538.0	COG2124@1|root,COG2124@2|Bacteria,2GJ8V@201174|Actinobacteria,238VX@1762|Mycobacteriaceae	201174|Actinobacteria	C	Cytochrome P450	-	-	-	ko:K15468	-	-	-	-	ko00000,ko01008	-	-	-	p450	COG2124
F6B93_RS06185	557599.MKAN_22355	5.36e-284	783.0	COG1960@1|root,COG1960@2|Bacteria,2GJH2@201174|Actinobacteria,234QF@1762|Mycobacteriaceae	201174|Actinobacteria	I	acyl-CoA dehydrogenase	fadE24	-	-	-	-	-	-	-	-	-	-	-	Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N	COG1960
F6B93_RS17170	216594.MMAR_4296	1.15e-118	341.0	COG0177@1|root,COG0177@2|Bacteria,2GNE5@201174|Actinobacteria,232IW@1762|Mycobacteriaceae	201174|Actinobacteria	L	HhH-GPD family	-	-	-	-	-	-	-	-	-	-	-	-	HhH-GPD	COG0177
FAA86_RS23995	1156935.QWE_23976	0.0	1367.0	COG0480@1|root,COG0480@2|Bacteria,1MUCV@1224|Proteobacteria,2TQVI@28211|Alphaproteobacteria,4B70V@82115|Rhizobiaceae	28211|Alphaproteobacteria	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome	fusA	-	-	ko:K02355	-	-	-	-	ko00000,ko03012,ko03029	-	-	-	EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2	COG0480
